,PercentWhite,PercetnBlack,PercentAmericanIndianandAlaskaNative,PercentAsian,PercentNativeHawaiianandOtherPacificIslander,PercentSomeOtherRace,PercentHispanicOrLatino,state,county,tract
0,84.5,5.9,0.0,6.3,0.0,1.6,6529,36,061,016500
1,26.8,9.0,1.9,2.3,0.0,53.5,12283,36,061,027900
2,74.6,3.4,0.0,19.4,0.0,1.1,1228,36,061,011203
3,16.2,49.1,0.0,9.4,0.0,23.2,7459,36,061,018400
4,83.6,3.4,0.0,5.7,0.0,4.2,5161,36,047,015900
5,87.1,2.2,0.0,6.8,0.0,0.6,5800,36,047,016700
6,34.9,36.6,0.0,19.0,0.0,1.9,2800,36,047,003100
7,67.3,10.3,0.0,8.3,1.0,5.9,3336,36,047,004300
8,81.1,3.4,0.4,5.1,0.0,4.4,2523,36,047,005100
9,82.9,4.9,0.0,4.8,0.0,3.7,3581,36,047,006900
10,80.8,0.0,0.0,7.3,0.0,6.7,1801,36,047,044800
11,96.7,0.0,0.0,2.4,0.0,0.9,551,36,047,045000
12,97.1,1.8,1.1,0.0,0.0,0.0,1602,36,047,045800
13,89.7,1.8,0.0,3.1,0.0,1.9,2939,36,047,044000
14,39.6,21.9,1.1,5.0,0.0,31.7,4321,36,047,042100
15,49.6,12.8,0.0,3.8,0.0,27.7,3103,36,047,042500
16,45.1,0.4,0.2,42.8,0.0,7.9,4522,36,047,043200
17,51.7,21.9,0.0,4.7,0.5,17.8,2496,36,047,044700
18,73.8,0.9,0.0,19.5,0.0,0.5,2399,36,047,045600
19,2.0,95.8,0.0,0.0,0.0,0.0,2578,36,047,092200
20,8.9,85.6,0.0,1.8,0.0,3.7,3071,36,047,094402
21,4.0,90.3,0.0,4.4,0.0,0.6,1715,36,047,096400
22,6.9,87.1,0.3,4.6,0.0,1.0,1810,36,047,101600
23,4.6,79.8,0.0,6.4,0.0,3.8,2058,36,047,101800
24,13.2,81.4,0.0,1.8,0.0,0.8,2291,36,047,102000
25,4.0,85.7,0.0,0.0,0.0,9.2,4068,36,047,107800
26,6.8,76.9,0.0,0.2,0.0,14.5,4082,36,047,110600
27,15.7,40.0,0.0,26.4,0.0,13.3,6197,36,047,038200
28,44.9,9.0,3.1,12.2,0.0,29.9,2943,36,047,038900
29,63.0,0.4,0.0,34.1,0.0,1.3,3480,36,047,043400
