,"PercentUnder$10,000","Percent$10,000to$14,999","Percent$15,000to$24,999","Percent$25,000to$34,999","Percent$35,000to$49,999","Percent$50,000to$74,999","Percent$75,000to$99,999","Percent$100,000to$149,999","Percent$150,000to$199,999","Percent$200,000ormore",state
0,5.0,3.1,8.2,9.2,12.8,19.1,14.3,16.4,6.3,5.6,01
1,2.8,1.6,4.2,5.4,8.8,16.9,14.3,23.0,12.1,10.8,02
2,4.2,2.4,6.6,8.2,12.6,19.3,14.5,17.3,7.3,7.5,04
3,4.5,3.3,8.9,10.4,14.5,20.0,13.8,14.8,5.1,4.8,05
4,3.3,2.2,6.1,6.8,10.1,15.4,12.9,18.3,10.3,14.5,06
5,2.6,1.7,4.3,5.8,10.0,16.7,15.3,21.2,10.7,11.7,08
6,2.9,1.8,5.1,6.7,10.5,17.7,15.9,20.4,9.8,9.2,10
7,6.0,3.0,5.4,5.5,7.0,9.8,9.0,14.4,11.7,28.2,11
8,2.8,1.8,4.3,5.4,8.6,13.9,13.1,20.8,12.2,17.1,09
9,3.9,2.4,7.2,9.0,13.4,19.2,14.3,16.1,6.8,7.7,12
10,4.5,2.6,7.2,8.4,12.0,18.0,14.1,17.3,7.5,8.5,13
11,3.0,2.3,6.3,8.5,13.6,22.0,15.4,17.5,6.1,5.3,16
12,2.9,1.4,3.8,5.0,8.5,15.7,15.5,22.8,12.0,12.4,15
13,3.5,2.1,5.7,6.7,10.6,16.6,14.2,19.8,9.8,11.1,17
14,3.7,2.2,6.0,7.9,12.7,20.4,16.3,18.3,6.7,5.8,18
15,2.8,1.9,5.1,6.8,11.7,20.1,17.4,20.4,7.4,6.4,19
16,2.9,2.0,5.3,7.4,12.0,19.6,16.1,19.6,7.8,7.3,20
17,5.4,3.4,8.0,9.1,13.1,19.0,14.6,16.3,5.9,5.3,21
18,5.9,3.6,9.4,9.0,12.2,17.2,13.3,16.3,6.8,6.4,22
19,2.9,2.2,5.7,8.1,12.0,20.0,16.8,19.0,7.0,6.3,23
20,2.6,1.4,3.7,5.0,8.0,14.0,13.6,21.7,13.1,16.8,24
21,3.0,1.8,4.4,5.3,8.0,13.3,12.7,21.0,13.0,17.6,25
22,3.9,2.5,6.2,7.7,12.2,19.2,15.1,18.4,7.7,7.2,26
23,2.2,1.5,4.1,5.7,9.8,17.0,16.0,22.6,10.5,10.7,27
24,6.2,3.8,9.9,10.1,13.8,18.8,14.2,14.2,5.0,3.9,28
25,3.5,2.4,6.7,8.2,12.9,19.6,15.3,17.8,6.9,6.6,29
26,3.1,2.1,6.1,8.0,13.0,20.5,16.3,18.3,6.6,6.0,30
27,2.7,1.7,5.0,6.8,11.6,19.6,17.0,20.7,7.9,6.9,31
28,3.8,2.1,6.2,7.9,12.6,19.5,15.7,18.0,7.4,6.8,32
29,1.9,1.2,3.7,5.2,8.7,16.4,15.7,23.1,11.9,12.2,33
30,2.8,1.7,4.7,5.5,8.2,13.5,12.6,20.4,12.5,18.1,34
31,5.5,3.5,9.4,9.7,12.9,18.9,13.6,15.2,6.0,5.5,35
32,4.0,2.6,6.2,6.8,9.9,15.3,13.0,18.5,10.1,13.6,36
33,4.0,2.7,7.3,8.8,12.9,18.8,14.7,16.7,6.8,7.3,37
34,2.8,1.5,4.2,5.9,9.7,17.5,17.3,23.4,9.2,8.4,38
35,4.1,2.5,6.2,7.6,12.1,19.2,15.5,18.6,7.4,6.8,39
36,4.4,2.7,7.4,9.1,13.5,19.8,14.9,16.3,6.1,5.8,40
37,3.3,2.0,5.7,7.6,11.6,18.5,15.3,19.0,8.4,8.6,41
38,3.4,2.1,5.4,7.2,11.2,18.2,15.3,19.4,8.6,9.1,42
39,3.1,2.5,5.5,6.5,9.6,15.7,15.1,21.5,10.5,9.9,44
40,4.4,2.6,7.5,9.1,13.2,19.2,15.0,16.4,6.4,6.2,45
41,3.5,1.9,5.4,7.4,11.5,20.2,18.3,19.5,6.5,5.8,46
42,4.4,2.8,7.5,9.0,13.2,19.5,14.8,16.3,6.2,6.4,47
43,4.1,2.5,7.0,8.2,11.7,17.4,13.7,17.7,8.3,9.4,48
44,2.7,1.8,5.4,6.6,10.8,18.7,16.9,21.6,7.8,7.7,50
45,2.4,1.7,4.2,6.1,10.8,19.8,17.3,21.5,8.6,7.6,49
46,2.9,1.7,4.6,6.1,9.8,16.0,14.0,19.8,10.7,14.4,51
47,2.8,1.7,4.4,5.7,9.9,16.8,15.1,20.9,10.5,12.3,53
48,5.3,3.5,8.6,9.7,14.3,20.3,14.4,15.1,4.9,4.1,54
49,2.6,2.0,5.1,6.9,11.3,19.3,17.1,20.9,8.0,6.8,55
50,2.6,1.7,4.9,6.8,11.6,18.5,18.0,22.1,7.9,6.0,56
51,21.5,9.8,18.8,13.7,13.7,11.9,4.9,3.5,1.1,1.2,72
