,Median household income,state
0,50536,01
1,77640,02
2,58945,04
3,47597,05
4,75235,06
5,72331,08
6,68287,10
7,86420,11
8,78444,09
9,55660,12
10,58700,13
11,55785,16
12,81275,15
13,65886,17
14,56303,18
15,60523,19
16,59597,20
17,50589,21
18,49469,22
19,57918,23
20,84805,24
21,81215,25
22,57144,26
23,71306,27
24,45081,28
25,55461,29
26,54970,30
27,61439,31
28,60365,32
29,76768,33
30,82545,34
31,49754,35
32,68486,36
33,54602,37
34,64894,38
35,56602,39
36,52919,40
37,62818,41
38,61744,42
39,67167,44
40,53199,45
41,58275,46
42,53320,47
43,61874,48
44,61973,50
45,71621,49
46,74222,51
47,73775,53
48,46711,54
49,61747,55
50,64049,56
51,20539,72
