,"PercentUnder$10,000","Percent$10,000to$14,999","Percent$15,000to$24,999","Percent$25,000to$34,999","Percent$35,000to$49,999","Percent$50,000to$74,999","Percent$75,000to$99,999","Percent$100,000to$149,999","Percent$150,000to$199,999","Percent$200,000ormore",state,zip code tabulation area
0,3.8,1.6,5.5,4.8,6.4,13.6,12.9,19.0,11.9,20.7,36,11222
1,15.4,3.6,8.8,10.2,13.4,12.6,12.0,12.7,5.3,6.0,36,11233
2,2.3,5.1,10.7,7.9,9.3,16.7,10.0,17.1,10.5,10.4,36,11235
3,2.5,1.9,2.0,2.5,6.9,11.7,15.0,25.3,16.6,15.6,36,11426
4,2.4,1.4,4.7,4.8,8.1,17.1,12.4,24.9,12.6,11.5,36,11427
5,3.4,6.1,9.5,6.8,10.7,11.4,8.0,12.7,8.1,23.2,36,11101
6,6.7,4.8,8.8,7.5,14.0,15.7,8.7,12.8,8.1,13.0,36,11205
7,1.8,0.8,2.1,1.8,3.9,6.9,7.9,17.8,15.5,41.5,36,11215
8,5.7,6.4,16.7,13.3,15.3,15.1,10.0,9.6,4.2,3.6,36,11219
9,4.2,3.2,5.8,11.4,12.4,20.0,15.0,15.2,7.0,5.9,36,11226
10,2.1,2.3,6.9,8.7,10.0,15.0,11.4,20.5,10.9,12.2,36,11228
11,3.7,2.4,6.8,5.7,9.2,17.1,16.1,21.4,10.1,7.6,36,11236
12,2.9,1.2,5.9,6.7,9.4,15.6,17.1,18.7,14.3,8.2,36,11428
13,3.9,3.0,8.1,8.8,15.1,15.9,15.7,17.0,9.0,3.6,36,11433
14,0.4,0.9,3.3,4.4,5.5,10.7,17.7,27.1,16.9,13.2,36,11004
15,1.6,0.0,0.0,0.0,0.0,23.2,6.6,25.9,19.5,23.2,36,11005
16,5.5,7.5,11.3,8.2,9.6,11.5,8.8,11.9,8.2,17.5,36,11211
17,2.3,3.7,9.2,10.4,15.8,18.0,12.1,14.9,8.0,5.6,36,11372
18,3.2,0.8,3.6,5.4,6.9,8.6,7.1,16.7,10.5,37.3,36,11217
19,10.1,9.0,15.2,12.6,14.4,14.2,9.4,8.2,3.3,3.7,36,11206
20,2.6,0.4,3.1,4.2,7.9,13.2,10.2,20.2,13.8,24.7,36,11363
21,6.6,3.8,4.9,4.9,8.0,8.0,5.5,9.7,14.4,34.2,36,11231
22,3.5,2.0,7.2,7.2,11.4,13.4,13.9,21.3,10.4,9.6,36,11417
23,0.8,0.0,0.0,0.9,0.9,2.4,2.8,23.7,18.9,49.6,36,11109
24,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36,11351
25,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36,11359
26,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36,11424
27,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36,11451
28,4.9,2.8,6.3,9.2,12.9,18.7,13.5,20.4,7.2,4.2,36,11203
29,12.6,4.1,9.2,9.1,14.5,17.5,12.1,12.5,5.0,3.5,36,11208
30,3.0,1.4,6.8,6.0,10.9,18.6,14.4,17.8,9.7,11.7,36,11210
31,11.4,6.4,14.4,11.6,15.0,15.9,8.5,11.6,2.8,2.4,36,11212
32,8.2,6.1,8.4,8.1,11.1,17.4,13.2,13.8,6.7,7.1,36,11221
33,5.8,6.5,19.8,18.2,11.1,14.5,13.5,6.4,2.3,2.0,36,11239
34,2.3,1.8,4.0,6.4,8.4,15.1,13.1,20.2,13.8,15.0,36,11361
35,1.6,2.1,3.1,7.6,6.9,16.4,12.8,25.5,11.9,12.2,36,11364
36,1.8,0.9,3.4,3.8,9.3,15.4,16.2,25.3,12.2,11.8,36,11413
37,1.9,1.3,4.1,4.6,10.1,14.3,15.1,28.3,9.0,11.2,36,11429
38,2.1,2.2,5.1,5.4,11.4,17.8,18.2,23.6,8.5,5.7,36,11434
39,3.4,1.1,4.2,5.7,12.4,19.7,16.8,22.7,7.7,6.3,36,11436
40,8.8,4.7,8.7,9.5,17.9,15.1,10.7,11.8,7.0,5.8,36,11692
41,3.1,4.8,9.9,10.4,9.8,11.7,11.3,19.0,7.7,12.3,36,11102
42,9.7,4.9,11.7,9.8,12.3,17.5,12.5,13.3,4.9,3.4,36,11207
43,6.8,6.4,12.6,8.0,15.2,15.1,10.6,12.9,6.5,6.0,36,11213
44,5.5,3.4,7.0,6.3,9.0,16.3,11.7,17.4,9.6,13.7,36,11216
45,4.4,3.5,7.6,7.5,14.7,17.0,14.7,14.7,7.4,8.4,36,11225
46,6.7,8.7,6.4,5.9,17.3,13.5,11.1,13.8,8.6,8.1,36,11232
47,4.4,3.1,3.5,6.8,5.9,11.0,9.4,14.4,15.1,26.3,36,11238
48,3.3,1.8,7.5,6.2,13.2,15.8,10.1,20.8,10.7,10.6,36,11358
49,6.4,2.7,5.9,9.8,11.1,13.5,12.4,17.4,12.1,8.6,36,11365
50,1.0,0.4,2.5,5.0,7.3,14.5,15.5,26.8,14.0,13.2,36,11003
51,3.4,1.8,7.3,8.3,10.1,15.6,14.5,20.8,11.0,7.3,36,11103
52,3.0,1.9,6.0,5.1,7.0,12.7,13.1,21.6,11.5,18.0,36,11209
