,Median household income,state,zip code tabulation area
0,93488,36,11222
1,44905,36,11233
2,54646,36,11235
3,98987,36,11426
4,79385,36,11427
5,75581,36,11101
6,58872,36,11205
7,132091,36,11215
8,40683,36,11219
9,58257,36,11226
10,72902,36,11228
11,70793,36,11236
12,78368,36,11428
13,54253,36,11433
14,95436,36,11004
15,55313,36,11005
16,81228,36,11211
17,60659,36,11372
18,119375,36,11217
19,39753,36,11206
20,101019,36,11363
21,99643,36,11231
22,76868,36,11417
23,160625,36,11109
24,-666666666,36,11351
25,-666666666,36,11359
26,-666666666,36,11424
27,-666666666,36,11451
28,54457,36,11203
29,42403,36,11208
30,69385,36,11210
31,26521,36,11212
32,56900,36,11221
33,29172,36,11239
34,87892,36,11361
35,82028,36,11364
36,93432,36,11413
37,88300,36,11429
38,64087,36,11434
39,75222,36,11436
40,46819,36,11692
41,71382,36,11102
42,39382,36,11207
43,44831,36,11213
44,67795,36,11216
45,59820,36,11225
46,61200,36,11232
47,91846,36,11238
48,68848,36,11358
49,67642,36,11365
50,104349,36,11003
51,76234,36,11103
52,77917,36,11209
53,56911,36,11214
54,50191,36,11220
55,53070,36,11230
56,42507,36,11355
57,58948,36,11377
58,77710,36,11378
59,98207,36,11411
60,73370,36,11416
61,71194,36,11423
62,129344,36,11040
63,79883,36,11105
64,68530,36,11106
65,64631,36,11229
66,85807,36,11234
67,85818,36,11357
68,63546,36,11367
69,54184,36,11369
70,70900,36,11415
71,68920,36,11418
72,73107,36,11421
73,62148,36,11432
74,84713,36,11375
75,79273,36,11420
76,66137,36,11435
77,50267,36,11691
78,60569,36,11693
79,54211,36,11368
80,75340,36,11385
81,81608,36,11412
82,75471,36,11414
83,-666666666,36,11430
84,84485,36,11694
85,105750,36,11697
86,65399,36,10469
87,36982,36,10002
88,33720,36,10029
89,53660,36,10031
90,54406,36,10034
91,49677,36,10040
92,-666666666,36,10103
93,-666666666,36,10154
94,-666666666,36,10173
95,53303,36,11237
96,40786,36,11354
97,61859,36,11356
98,83063,36,11360
99,93333,36,11362
100,84301,36,11366
101,63706,36,11370
102,-666666666,36,11371
103,66795,36,11374
104,83883,36,11379
105,75835,36,11419
106,88130,36,11422
107,113300,36,11001
108,53093,36,11204
109,73470,36,11218
110,54023,36,11223
111,32549,36,11224
112,54584,36,11373
113,33498,36,10472
114,109457,36,10309
115,39372,36,10467
116,27917,36,10456
117,29799,36,10035
118,148441,36,10065
119,138640,36,10075
120,-666666666,36,10110
121,-666666666,36,10168
122,-666666666,36,10174
123,-666666666,36,10199
124,-666666666,36,10311
125,37804,36,10468
126,122484,36,10018
127,51938,36,10027
128,95301,36,10036
129,-666666666,36,10170
130,-666666666,36,10171
131,54199,36,10304
132,103027,36,10308
133,29284,36,10459
134,58393,36,10466
135,22965,36,10474
136,190223,36,10004
137,91624,36,10025
138,42348,36,10030
139,46263,36,10037
140,-666666666,36,10271
141,97407,36,10312
142,29579,36,10452
143,54278,36,10462
144,41508,36,10473
145,189702,36,10005
146,132988,36,10010
147,126628,36,10016
148,131045,36,10017
149,59691,36,10026
150,63093,36,10033
151,132500,36,10069
152,-666666666,36,10111
153,-666666666,36,10115
154,121829,36,10128
155,-666666666,36,10153
156,-666666666,36,10169
157,76075,36,10310
158,224063,36,10007
159,103792,36,10019
160,-666666666,36,10020
161,122169,36,10021
162,95702,36,10038
163,42278,36,10039
164,-666666666,36,10165
165,-666666666,36,10167
166,-666666666,36,10278
167,182760,36,10280
168,66096,36,10302
169,67215,36,10303
170,29767,36,10457
171,96366,36,10464
172,118161,36,10003
173,63717,36,10009
174,138272,36,10011
175,150718,36,10022
176,122969,36,10028
177,-666666666,36,10119
178,104808,36,10044
179,152336,36,10162
180,-666666666,36,10279
181,85103,36,10307
182,27545,36,10460
183,75617,36,10465
184,61266,36,10470
185,88722,36,10471
186,179044,36,10006
187,106467,36,10012
188,113191,36,10013
189,133501,36,10014
190,132605,36,10023
191,143623,36,10024
192,53525,36,10032
193,-666666666,36,10112
194,-666666666,36,10152
195,-666666666,36,10177
196,80834,36,10306
197,58305,36,10461
198,-666666666,36,10172
199,79742,36,10305
200,30349,36,10451
201,58408,36,10463
202,29136,36,10453
203,21447,36,10454
204,28585,36,10455
205,35423,36,10458
