,PercentLessThan500,Percent500to999,Percent1000to1499,Percent1500to1999,Percent2000to2499,Percent2500to2999,Percent3000ormore,state,zip code tabulation area
0,0.9,3.7,2.1,0.0,7.5,10.8,75.1,06,94065
1,1.0,1.7,8.2,21.9,23.3,18.1,26.0,06,94066
2,2.4,2.6,4.4,15.9,29.0,23.4,22.3,06,94086
3,0.0,0.0,11.7,4.6,5.8,29.6,48.3,06,94304
4,7.6,15.8,17.6,14.2,12.1,11.0,21.7,06,94110
5,6.5,8.1,28.8,23.3,22.0,7.1,4.3,06,95403
6,5.2,3.0,21.8,30.7,21.7,8.8,8.8,06,95409
7,13.4,12.2,32.8,24.9,10.3,6.4,0.0,06,95425
8,4.8,12.6,22.0,19.1,15.9,10.5,15.1,06,94112
9,2.5,3.3,15.4,23.7,24.1,10.6,20.5,06,94132
10,5.0,11.3,11.2,15.2,24.4,15.7,17.2,06,94513
11,4.2,12.1,40.2,27.0,11.3,3.1,2.1,06,94533
12,1.0,2.7,12.0,22.0,22.8,15.8,23.8,06,94061
13,2.0,5.4,11.6,25.1,23.7,9.7,22.5,06,94062
14,5.8,4.9,9.6,24.7,22.7,15.6,16.7,06,94080
15,3.6,6.2,14.7,17.3,16.9,13.4,27.9,06,94114
16,0.4,0.4,4.7,21.8,31.1,12.7,28.8,06,94402
17,2.6,9.4,18.2,30.5,22.1,10.7,6.7,06,94519
18,24.0,4.7,3.8,6.1,7.8,5.8,47.8,06,94563
19,2.6,7.1,34.8,36.9,12.9,4.9,0.8,06,94520
20,2.0,3.7,6.7,19.1,29.3,23.3,15.8,06,94538
21,5.7,7.3,28.1,30.7,15.5,7.3,5.4,06,94559
22,2.3,7.4,33.6,34.9,14.6,6.0,1.2,06,94578
23,4.0,6.4,22.0,27.6,26.5,10.7,2.8,06,94580
24,8.5,20.6,22.7,18.7,12.7,7.2,9.5,06,94702
25,4.5,12.8,21.0,27.5,19.6,5.3,9.3,06,94704
26,0.0,12.2,21.5,18.6,14.8,8.5,24.5,06,94707
27,1.8,0.0,12.6,38.3,20.2,12.0,15.1,06,94904
28,5.9,7.8,16.8,24.6,19.9,10.3,14.7,06,94014
29,0.0,22.1,24.8,23.4,0.0,0.0,29.7,06,94020
30,0.0,100.0,0.0,0.0,0.0,0.0,0.0,06,95140
31,0.0,9.8,10.1,13.3,0.0,20.2,46.5,06,94028
32,3.1,1.7,6.2,16.6,24.6,19.8,28.0,06,94040
33,19.6,24.8,17.6,14.6,8.9,6.1,8.3,06,94102
34,9.7,14.0,10.7,9.6,14.2,12.7,29.1,06,94111
35,0.2,0.5,11.4,27.4,24.0,15.5,21.1,06,94010
36,4.8,2.2,8.7,17.7,20.0,18.9,27.7,06,94044
37,1.4,2.2,8.3,20.4,27.6,15.1,25.0,06,94070
38,6.6,3.2,18.6,4.8,0.0,20.1,46.7,06,94105
39,5.4,9.7,18.7,20.1,17.7,13.3,15.1,06,94121
40,12.4,12.7,8.7,6.4,13.0,16.2,30.7,06,94301
41,4.2,8.5,16.9,20.6,17.4,10.6,21.7,06,94303
42,0.0,3.5,38.4,34.5,16.0,5.7,2.0,06,94305
43,1.7,4.2,6.7,15.1,15.2,21.6,35.5,06,94403
44,16.3,14.8,24.0,25.3,11.5,5.5,2.6,06,94572
45,7.4,12.7,16.4,22.7,25.8,2.9,12.1,06,94579
46,1.1,13.6,24.8,37.2,20.8,2.4,0.2,06,94589
47,5.6,12.2,32.2,29.9,15.9,2.8,1.3,06,94603
48,8.3,15.8,28.5,24.2,12.7,6.3,4.3,06,94605
49,20.5,19.1,17.2,13.3,9.0,10.4,10.4,06,94612
50,1.7,0.8,19.4,39.3,23.2,11.3,4.3,06,94706
51,0.0,30.1,35.2,0.0,17.9,10.7,6.1,06,94923
52,3.1,7.0,27.6,32.7,19.0,7.9,2.8,06,94928
53,11.7,0.0,0.0,0.0,16.0,31.9,40.4,06,94938
54,9.2,0.6,9.6,17.5,32.0,9.5,21.7,06,94939
55,5.8,12.2,6.5,25.3,17.9,19.6,12.8,06,94945
57,0.0,0.0,0.0,68.7,31.3,0.0,0.0,06,94569
58,0.0,11.2,8.9,4.3,21.5,41.6,12.5,06,94517
59,9.5,9.2,12.4,23.1,22.4,21.0,2.4,06,94545
60,1.2,3.0,4.5,34.8,25.4,14.2,16.9,06,94556
61,6.4,23.4,14.1,20.1,18.1,8.4,9.6,06,94574
62,5.6,1.6,2.2,15.5,36.6,21.3,17.3,06,94583
63,0.0,16.9,24.6,40.0,7.7,10.8,0.0,06,94586
64,7.5,22.9,33.0,23.1,8.4,2.7,2.4,06,94601
65,15.3,18.8,27.7,25.3,8.9,3.7,0.3,06,94621
66,0.2,2.0,8.8,20.4,13.7,17.5,37.5,06,94708
67,8.1,9.8,25.7,15.1,16.9,11.1,13.4,06,94710
68,3.1,8.6,15.1,14.9,15.6,15.8,27.0,06,94117
69,17.7,15.1,13.6,20.4,13.8,5.6,13.7,06,94134
70,2.2,1.4,2.9,3.5,8.5,19.9,61.6,06,94404
71,5.8,8.7,25.4,33.3,22.8,3.5,0.6,06,94509
72,2.7,7.4,19.3,28.9,23.3,9.3,9.1,06,94510
73,7.5,14.6,35.7,26.1,9.5,3.4,3.2,06,94801
74,3.4,5.0,29.2,26.3,15.8,14.4,5.9,06,94803
75,4.7,6.6,20.4,28.1,21.5,8.1,10.6,06,94901
76,5.8,0.8,4.4,41.0,18.2,13.8,15.9,06,94947
77,5.2,8.2,23.7,28.0,18.9,8.8,7.2,06,94952
78,0.0,3.9,15.5,33.0,21.7,11.6,14.4,06,94960
