,PercentLessThan500,Percent500to999,Percent1000to1499,Percent1500to1999,Percent2000to2499,Percent2500to2999,Percent3000ormore,state,zip code tabulation area
0,3.5,9.0,12.4,22.8,21.7,15.0,15.6,36,11222
1,15.1,21.1,28.8,21.5,8.7,3.5,1.4,36,11233
2,12.2,15.9,33.3,26.9,7.3,2.4,2.0,36,11235
3,0.0,6.9,21.1,27.8,26.3,11.7,6.3,36,11426
4,3.8,7.1,46.8,31.1,7.3,2.3,1.7,36,11427
5,18.6,10.5,11.8,13.8,12.2,12.2,21.0,36,11101
6,17.3,16.2,18.2,14.7,12.8,11.5,9.3,36,11205
7,2.6,6.6,11.3,18.4,20.7,17.4,23.1,36,11215
8,4.4,12.7,38.5,30.6,10.6,2.0,1.1,36,11219
9,3.0,9.9,44.7,28.8,9.8,2.5,1.2,36,11226
10,2.5,10.7,39.5,31.0,12.9,2.3,1.1,36,11228
11,10.6,14.6,30.0,34.0,9.7,0.9,0.2,36,11236
12,0.0,9.5,42.7,32.3,9.4,4.9,1.2,36,11428
13,19.0,21.0,20.3,27.0,11.2,0.7,0.8,36,11433
14,0.0,12.3,27.4,45.7,5.6,7.1,2.0,36,11004
15,46.2,0.0,0.0,16.7,7.7,0.0,29.5,36,11005
16,9.6,15.2,15.3,11.5,12.3,11.5,24.6,36,11211
17,1.4,8.2,39.2,36.1,11.2,3.0,0.8,36,11372
18,10.7,14.5,10.5,10.7,13.9,15.2,24.5,36,11217
19,22.1,21.7,19.7,11.8,10.2,7.0,7.6,36,11206
20,1.8,0.0,14.0,16.5,47.0,10.7,9.9,36,11363
21,19.9,11.7,11.8,10.6,14.2,16.2,15.5,36,11231
22,1.3,6.7,33.0,42.7,15.2,0.7,0.4,36,11417
23,0.0,0.0,0.0,0.8,3.3,25.6,70.3,36,11109
24,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36,11351
25,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36,11359
26,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36,11424
27,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36,11451
28,5.1,14.6,45.6,25.4,7.5,1.2,0.6,36,11203
29,10.5,19.4,36.0,25.1,8.0,0.9,0.3,36,11208
