,"PercentUnder$10,000","Percent$10,000to$14,999","Percent$15,000to$24,999","Percent$25,000to$34,999","Percent$35,000to$49,999","Percent$50,000to$74,999","Percent$75,000to$99,999","Percent$100,000to$149,999","Percent$150,000to$199,999","Percent$200,000ormore",state,zip code tabulation area
0,1.6,1.1,1.0,1.9,2.7,4.1,4.0,15.7,15.3,52.6,06,94065
1,1.4,0.3,2.6,4.7,6.1,9.2,13.2,22.7,17.1,22.8,06,94066
2,1.6,1.1,2.1,3.7,5.5,8.5,7.9,18.1,16.6,34.8,06,94086
3,1.8,0.0,0.0,0.8,1.0,14.9,19.3,12.7,14.7,34.9,06,94304
4,2.9,1.3,5.2,4.7,7.4,10.8,7.3,15.1,10.3,35.0,06,94110
5,2.2,0.8,5.5,4.9,9.3,19.3,13.3,23.7,12.3,8.7,06,95403
6,0.4,0.7,2.7,4.1,7.5,19.1,10.9,25.0,9.9,19.8,06,95409
7,1.2,2.2,2.5,8.0,11.1,15.5,15.9,23.4,8.8,11.3,06,95425
8,1.9,1.7,4.4,5.2,8.1,15.0,16.1,19.7,11.4,16.5,06,94112
9,3.2,1.4,7.1,3.8,9.8,9.3,13.0,17.8,15.0,19.4,06,94132
10,0.4,0.5,3.5,3.3,8.1,11.7,12.0,24.1,16.7,19.7,06,94513
11,4.2,2.4,4.7,6.2,12.7,16.4,17.7,20.7,7.8,7.2,06,94533
12,1.4,0.6,2.9,3.8,8.1,11.1,10.5,16.2,13.2,32.1,06,94061
13,1.7,0.5,1.1,3.1,1.7,6.6,5.7,14.0,12.6,52.9,06,94062
14,1.8,0.9,3.4,3.8,6.7,12.2,15.0,20.8,14.9,20.4,06,94080
15,0.5,1.0,0.7,0.9,1.1,6.2,7.1,14.5,15.6,52.4,06,94114
16,1.9,0.3,0.9,2.8,5.5,4.9,7.8,12.2,14.0,49.8,06,94402
17,1.9,1.4,2.9,6.5,4.5,11.8,16.4,28.8,13.3,12.6,06,94519
18,0.5,1.0,0.3,2.2,2.3,3.1,3.4,11.8,9.9,65.6,06,94563
19,4.4,3.0,7.5,8.5,13.0,20.0,16.3,15.7,6.7,4.8,06,94520
20,1.3,0.9,3.1,3.2,3.9,10.1,15.2,24.2,17.7,20.4,06,94538
21,3.0,1.1,3.8,6.7,12.5,15.8,17.2,20.3,9.8,9.9,06,94559
22,2.4,3.9,4.6,10.0,12.8,18.5,13.9,19.1,8.5,6.3,06,94578
