,Median household income,state,zip code tabulation area
0,172663,06,94065
1,109387,06,94066
2,139847,06,94086
3,130227,06,94304
4,134592,06,94110
5,75954,06,95403
6,75571,06,95409
7,73235,06,95425
8,94757,06,94112
9,84349,06,94132
10,108243,06,94513
11,73042,06,94533
12,112609,06,94061
13,178480,06,94062
14,105600,06,94080
15,162193,06,94114
16,169086,06,94402
17,96540,06,94519
18,222930,06,94563
19,60652,06,94520
20,112473,06,94538
21,76961,06,94559
22,66450,06,94578
23,96493,06,94580
24,82076,06,94702
25,38125,06,94704
26,154184,06,94707
27,139500,06,94904
28,90970,06,94014
29,139219,06,94020
30,-666666666,06,95140
31,234091,06,94028
32,139278,06,94040
33,46372,06,94102
34,120905,06,94111
35,152388,06,94010
36,125500,06,94044
37,185459,06,94070
38,213987,06,94105
39,103151,06,94121
40,159148,06,94301
41,105763,06,94303
42,60000,06,94305
43,134875,06,94403
44,75142,06,94572
45,88991,06,94579
46,68494,06,94589
47,52634,06,94603
48,72778,06,94605
49,55291,06,94612
50,100461,06,94706
51,85069,06,94923
52,71824,06,94928
53,126429,06,94938
54,119158,06,94939
55,120020,06,94945
56,-666666666,06,94512
57,181116,06,94569
58,150032,06,94517
59,91310,06,94545
60,141366,06,94556
61,93587,06,94574
62,152656,06,94583
63,133125,06,94586
64,50122,06,94601
65,42563,06,94621
66,170139,06,94708
67,81907,06,94710
68,170211,06,94117
69,77983,06,94134
70,149836,06,94404
71,64502,06,94509
72,103163,06,94510
73,56582,06,94801
74,89851,06,94803
75,90440,06,94901
76,110274,06,94947
77,88848,06,94952
78,133381,06,94960
79,121071,06,94970
80,121354,06,94542
81,139387,06,94550
82,209563,06,95030
83,125057,06,95037
84,96872,06,95050
85,206531,06,95120
86,117579,06,95123
87,89876,06,95405
88,72784,06,95412
89,64902,06,95436
90,100938,06,95441
91,44261,06,95462
92,92674,06,95472
93,81833,06,95497
94,154810,06,95032
95,148068,06,95129
96,94863,06,95688
97,86056,06,95687
98,95875,06,95002
99,126860,06,95119
100,98692,06,95127
101,93455,06,95128
102,103728,06,94553
103,95479,06,94602
104,87517,06,94608
105,86750,06,94609
106,110845,06,94922
107,80186,06,94931
108,140625,06,94946
109,56379,06,94973
110,147358,06,94555
111,68226,06,94571
112,85311,06,94591
113,76583,06,94595
114,109167,06,94596
115,154125,06,94598
116,56129,06,94606
117,100717,06,94610
118,167606,06,94618
119,83074,06,94703
120,125104,06,94705
121,87273,06,94937
122,107625,06,94940
123,105391,06,94965
124,93052,06,94558
125,100240,06,94564
126,95541,06,94015
127,250001,06,94027
128,120438,06,94038
129,139818,06,94041
130,127772,06,95130
131,179724,06,95138
132,82036,06,95476
133,107153,06,95492
134,81118,06,95452
135,91384,06,94933
136,152125,06,94941
137,-666666666,06,94972
138,68250,06,94924
139,165807,06,94920
140,93580,06,94949
141,74926,06,94956
142,155473,06,94002
143,166985,06,94107
144,94278,06,94109
145,123037,06,94115
146,63267,06,94124
147,54375,06,94130
148,69756,06,94133
149,237841,06,94507
150,69934,06,94514
151,117568,06,94523
152,177836,06,94539
153,82520,06,94544
154,112016,06,94005
155,136758,06,94019
156,250001,06,94024
157,128494,06,94030
158,75764,06,94103
159,51500,06,94104
160,172713,06,94127
161,196917,06,94129
162,94991,06,94501
163,79681,06,94525
164,178056,06,94549
165,116856,06,94560
166,146103,06,94568
167,94490,06,94619
168,59089,06,94804
169,149439,06,94925
170,96699,06,94951
171,64403,06,94806
172,105783,06,94903
173,105219,06,94930
174,93849,06,94954
175,77166,06,94063
176,70230,06,94535
177,104089,06,94561
178,53125,06,94567
179,82848,06,94585
180,153429,06,94588
181,127679,06,94592
182,55054,06,94607
183,129576,06,94611
184,71859,06,94709
185,85813,06,94805
186,177163,06,94021
187,223859,06,94022
188,162206,06,94123
189,106938,06,94521
190,114681,06,94587
191,114412,06,94060
192,161827,06,94025
193,118272,06,94963
194,143013,06,94528
195,104773,06,94548
196,-666666666,06,94613
197,117344,06,95046
198,95726,06,95117
199,115306,06,95118
200,78734,06,95122
201,138232,06,94043
202,160907,06,94087
203,119054,06,94089
204,63263,06,94108
205,116089,06,94116
206,121644,06,94118
207,122076,06,94122
208,143606,06,94306
209,93850,06,94401
210,89531,06,94508
211,85417,06,94515
212,95875,06,94518
213,107006,06,94530
214,121696,06,94536
215,80448,06,94541
216,97179,06,94546
217,117018,06,94547
218,162583,06,94552
219,71629,06,94565
220,161204,06,94566
221,78444,06,94577
222,53275,06,94590
223,69800,06,94599
224,124750,06,94074
225,151607,06,94131
226,152727,06,94526
227,65784,06,95446
228,75290,06,95401
229,63981,06,95407
230,168538,06,95014
231,66501,06,95112
232,99160,06,95126
233,150131,06,95134
234,82956,06,95620
235,121288,06,95132
236,148438,06,95135
237,112074,06,95136
238,81427,06,95404
239,122947,06,95008
240,102741,06,95020
241,134230,06,95051
242,95829,06,95110
243,73093,06,95111
244,155550,06,95124
245,118788,06,95125
246,126757,06,95131
247,86686,06,95133
248,-666666666,06,95439
249,64028,06,95444
250,65921,06,95465
251,132236,06,95035
252,106394,06,95121
253,95114,06,95448
254,138763,06,95148
255,139612,06,95139
256,58125,06,95421
257,135000,06,95442
258,-666666666,06,95013
259,152500,06,95054
260,193617,06,95070
261,135875,06,95113
262,65667,06,95116
263,59350,06,95450
