,Unemployment Rate,metropolitan statistical area/micropolitan statistical area
0,9.5,13720
1,3.3,13740
2,6.2,13780
3,5.7,13820
4,2.1,13900
5,4.8,13940
6,4.6,13980
7,3.2,14010
8,5.4,14020
9,4.0,14100
10,6.9,14140
11,9.2,14180
12,9.8,14220
13,4.4,14260
14,3.8,14300
15,7.4,14380
16,6.7,14420
17,4.5,14460
18,4.2,14500
19,4.9,14540
20,2.8,14580
21,6.0,14620
22,3.5,14660
23,4.8,14700
24,3.2,14720
25,4.6,14740
26,5.6,14780
27,5.9,14820
28,6.6,14860
29,7.3,15020
30,8.3,15060
31,3.7,15100
32,6.8,15140
33,5.8,15180
34,4.2,15220
35,5.1,15260
36,5.3,15340
37,4.4,15380
38,3.2,15420
39,5.2,15460
40,5.3,15500
41,3.5,15540
42,4.6,15580
43,6.3,15620
44,3.3,15660
45,3.3,15680
46,8.0,15700
47,5.9,15740
48,7.2,15780
49,4.8,15820
50,5.5,15860
51,5.4,15940
52,5.3,15980
53,5.1,16940
54,6.1,16980
55,4.6,16020
56,6.9,16060
57,4.5,16100
58,2.0,16140
59,5.1,16180
60,4.3,16220
61,4.4,16260
62,3.6,16300
63,4.9,16340
64,2.5,16380
65,6.5,16420
66,9.5,16460
67,7.1,16500
68,4.8,16540
69,4.8,16580
70,6.0,16620
71,5.2,16660
72,4.2,16700
73,5.2,16740
74,3.2,16820
75,4.9,16860
76,8.1,17020
77,6.1,17060
78,4.5,17140
79,6.3,17220
80,14.8,17260
81,6.8,17300
82,8.7,17340
83,8.2,17380
84,5.4,17420
85,6.2,17460
86,7.4,17500
87,4.5,17540
88,6.4,17580
89,6.1,17620
90,5.3,17640
91,4.1,17660
92,5.0,17700
93,4.2,17740
94,4.2,17780
95,5.8,17820
96,4.2,17860
97,5.9,17900
98,8.3,17980
99,5.1,18980
100,4.2,18020
101,8.1,18060
102,3.0,18100
103,4.5,18140
104,3.6,18180
105,5.0,18220
106,5.3,18260
107,7.6,18300
108,11.6,18380
109,6.5,18420
110,3.1,18460
111,6.3,18500
112,5.6,18580
113,7.3,18620
114,5.3,18660
115,5.4,18700
116,5.5,18740
117,4.4,18780
118,3.8,18820
119,7.7,18860
120,5.2,18880
121,5.4,18900
122,3.6,19540
123,4.3,19580
124,4.9,19620
125,4.9,19660
126,11.8,19700
127,3.7,19740
128,8.5,19760
129,3.9,19780
130,6.5,19820
131,2.6,19860
132,3.5,19940
133,5.8,19980
134,5.5,19000
135,6.9,19060
136,4.4,19100
137,5.6,19140
138,6.5,19180
139,5.7,19220
140,6.8,19260
141,4.3,19300
142,4.7,19340
143,8.5,19420
144,6.0,19430
145,5.1,19460
146,7.6,19500
147,6.2,20020
148,4.6,20060
149,5.4,20100
150,6.4,20140
151,6.4,20180
152,3.9,20220
153,4.2,20260
154,5.0,20300
155,6.6,20340
156,4.1,20420
157,5.5,20460
158,4.5,20500
159,6.4,20540
160,9.2,20580
161,3.4,20660
162,6.5,20700
163,3.4,20740
164,1.9,20780
165,2.8,20820
166,5.2,20900
167,14.2,20940
168,5.0,20980
169,6.6,21020
170,5.7,21060
171,3.3,21120
172,4.5,21140
173,6.0,21180
174,4.5,21220
175,5.6,21260
176,5.6,21300
177,6.1,21340
178,5.4,21380
179,4.9,21420
180,5.7,21460
181,5.4,21500
182,5.1,21540
183,7.9,21580
184,6.2,22620
185,8.9,21640
186,6.9,21660
187,7.8,21700
188,6.3,21740
189,4.3,21780
190,6.5,21820
191,6.6,21840
192,4.0,21860
193,6.0,21900
194,6.0,21980
195,4.1,22820
196,4.0,22840
197,8.6,22860
198,5.0,22900
199,2.7,22020
200,3.8,22060
201,5.0,22100
202,8.7,22140
203,8.2,22180
204,3.5,22220
205,3.1,22260
206,7.4,22280
207,3.6,22300
208,5.8,22340
209,7.6,22380
210,9.3,22420
211,7.3,22500
212,4.6,22520
213,3.3,22540
214,7.2,22580
215,6.0,22780
216,6.1,22800
217,4.8,23060
218,3.9,23140
219,4.9,23180
220,4.3,23240
221,7.0,23300
222,4.5,23340
223,4.6,23380
224,8.7,23420
225,5.5,23460
226,6.0,23500
227,5.3,23540
228,3.6,23580
229,4.5,23620
230,5.1,23660
231,14.0,23700
232,3.8,23780
233,4.2,23820
234,7.2,23860
235,3.8,23900
236,3.5,23940
237,6.3,23980
238,4.4,24020
239,4.1,24060
240,5.1,24100
241,6.6,24140
242,3.8,24180
243,3.7,24220
244,3.7,24260
245,6.7,24300
246,5.1,24330
247,4.1,24340
248,13.7,24380
249,8.6,24420
250,3.9,24460
251,3.9,24500
252,4.1,24540
253,2.9,24580
254,4.8,24620
255,5.5,24660
256,3.8,24700
257,13.2,24740
258,8.1,24780
259,3.3,24820
260,4.8,24860
261,7.8,24900
262,6.9,24940
263,6.5,24980
264,11.8,25020
265,8.5,25060
266,2.7,25100
267,5.8,25180
268,2.0,25200
269,7.2,25220
270,7.6,25260
271,4.6,25300
272,4.0,25420
273,4.4,25460
274,3.8,25500
275,5.6,25540
276,2.5,25580
277,9.0,25620
278,2.8,25700
279,1.7,25720
280,3.2,25740
281,10.6,25760
282,8.4,25780
283,3.8,25820
284,6.9,25840
285,6.5,25860
286,4.3,25880
287,6.2,25900
288,5.3,25940
289,10.4,25980
290,6.3,26020
291,2.8,26090
292,8.0,26140
293,3.6,26220
294,4.9,26260
295,5.5,26300
296,5.5,26340
297,6.3,26380
298,5.6,26420
299,4.9,26460
300,5.6,26500
301,2.8,26540
302,5.7,26580
303,5.2,26620
304,3.3,26660
305,1.4,26700
306,4.5,26740
307,2.9,26780
308,3.7,26820
309,6.6,26860
310,4.8,26900
311,13.7,26940
312,3.4,26980
313,4.7,27020
314,3.8,27060
315,5.8,27100
316,7.3,27140
317,7.9,27160
318,5.4,27180
319,2.4,27220
320,5.5,27260
321,5.6,27300
322,8.7,27340
323,6.2,27380
324,3.2,27420
325,6.1,27460
326,5.1,27500
327,8.4,27530
328,2.3,27540
329,15.1,27580
330,4.1,27600
331,3.4,27620
332,8.1,27660
333,6.1,27700
334,4.7,27740
335,5.8,27780
336,6.1,27860
337,4.8,27900
338,4.6,27940
339,4.0,27980
340,2.3,10100
341,7.1,10140
342,3.4,10180
343,4.4,10220
344,4.7,10300
345,18.4,10380
346,5.4,10420
347,7.6,10460
348,10.6,10500
349,6.6,10540
350,4.6,10580
351,5.7,10620
352,3.7,10660
353,4.3,10700
354,6.0,10740
355,8.4,10760
356,6.2,10780
357,2.5,10820
358,6.2,10860
359,5.5,10900
360,5.7,10940
361,6.0,10980
362,4.3,11020
363,5.1,11060
364,3.4,11100
365,8.7,11140
366,4.1,11180
367,6.6,11220
368,6.5,11260
369,3.7,11380
370,3.2,11420
371,4.2,11460
372,8.1,11500
373,2.6,11540
374,4.8,11580
375,5.3,11620
376,13.2,11640
377,2.0,11660
378,3.3,11700
379,3.5,11740
380,6.9,11780
381,5.3,11820
382,2.8,11860
383,7.2,11900
384,6.0,11940
385,5.0,11980
386,6.1,12940
387,6.3,12980
388,5.1,12020
389,5.2,12060
390,8.4,12100
391,11.0,12120
392,3.5,12140
393,4.5,12180
394,5.2,12220
395,7.0,12260
396,4.0,12300
397,3.7,12380
398,4.2,12420
399,5.2,12460
400,9.8,12540
401,5.1,12580
402,5.0,12620
403,2.9,12660
404,4.5,12680
405,4.1,12700
406,3.2,12740
407,5.2,12780
408,4.1,12860
409,4.6,12900
410,6.4,13020
411,5.8,13060
412,3.4,13100
413,4.7,13140
414,4.0,13180
415,7.9,13220
416,4.4,13260
417,8.0,13300
418,4.5,13340
419,5.7,13380
420,7.2,13420
421,5.4,13460
422,12.0,13500
423,3.6,13540
424,5.5,13620
425,6.8,13660
426,7.0,13700
427,3.1,36780
428,3.9,36820
429,6.7,36830
430,5.5,36837
431,3.7,36840
432,5.9,36900
433,3.7,36940
434,5.3,36980
435,5.6,36020
436,8.3,36100
437,6.8,36140
438,6.1,36220
439,3.2,36260
440,7.4,36300
441,6.8,36340
442,6.7,36380
443,4.3,36420
444,5.5,36460
445,6.4,36500
446,3.6,36540
447,5.7,37060
448,5.1,37100
449,8.0,37120
450,4.3,37140
451,9.5,37220
452,8.7,37260
453,3.2,37300
454,5.2,37340
455,5.4,37420
456,5.1,37460
457,7.6,37500
